PatID,DayNr,N3,N2,N1,REM,Wake
pat_FR_253,0->1,15.394804318340652,8.06225774829855,2.0,1.4142135623730951,15.033296378372908
pat_FR_253,1->2,4.898979485566356,9.1104335791443,5.830951894845301,10.246950765959598,8.06225774829855
pat_FR_253,2->3,1.0,5.916079783099616,5.385164807134504,8.12403840463596,8.06225774829855
pat_FR_253,3->4,5.196152422706632,8.306623862918075,5.385164807134504,14.2828568570857,11.445523142259598
pat_FR_253,4->5,7.681145747868608,9.539392014169456,20.12461179749811,12.529964086141668,10.04987562112089
pat_FR_253,5->6,20.396078054371138,3.0,10.198039027185569,25.15949125081825,6.164414002968976
pat_FR_970,0->1,3.3166247903554,2.8284271247461903,3.7416573867739413,3.605551275463989,19.6468827043885
pat_FR_970,1->2,3.3166247903554,3.3166247903554,32.63433774416144,18.384776310850235,12.24744871391589
pat_FR_970,2->3,3.7416573867739413,4.0,3.1622776601683795,2.23606797749979,12.409673645990857
pat_FR_1084,0->1,1.0,4.123105625617661,1.7320508075688772,6.557438524302,5.0990195135927845
pat_FR_1084,1->2,5.385164807134504,1.7320508075688772,4.123105625617661,3.0,6.557438524302
pat_FR_1084,2->3,2.23606797749979,4.242640687119285,3.1622776601683795,1.0,2.449489742783178
pat_FR_1084,3->4,5.0990195135927845,4.58257569495584,6.782329983125268,5.0990195135927845,12.083045973594572
pat_FR_1084,4->5,5.916079783099616,3.605551275463989,26.038433132583073,13.152946437965905,28.39013913315678
pat_FR_1084,5->6,7.3484692283495345,1.4142135623730951,21.18962010041709,6.324555320336759,4.358898943540674
pat_FR_1096,0->1,11.874342087037917,14.866068747318506,2.8284271247461903,16.15549442140351,14.45683229480096
pat_FR_1096,1->2,21.79449471770337,8.774964387392123,6.164414002968976,4.358898943540674,15.652475842498529
pat_FR_1096,2->3,19.026297590440446,12.328828005937952,5.830951894845301,8.366600265340756,6.708203932499369
pat_FR_1096,3->4,3.7416573867739413,1.0,1.4142135623730951,1.4142135623730951,0.0
pat_FR_1096,4->5,6.082762530298219,1.0,1.4142135623730951,1.0,1.4142135623730951
