Stage,Channel,Amplitude,NrClipsWithSpikes,SOZ
N3,hr1,1.2053972691187816e-05,52,0
N3,hr10,3.923359481970174e-05,52,0
N3,hr11,7.014176969535313e-05,52,0
N3,hr12,6.463664511021996e-05,52,1
N3,hr13,1.4453817449086732e-05,52,0
N3,hr14,1.3830934998130745e-05,52,0
N3,hr2,1.0618093535427077e-05,52,0
N3,hr3,1.3758433922749484e-05,52,0
N3,hr4,1.1619916075726928e-05,52,0
N3,hr5,6.4799539437008225e-06,52,0
N3,hr6,1.001162797438736e-05,52,0
N3,hr7,1.022243169212855e-05,52,0
N3,hr8,7.533990690106835e-06,52,0
N3,hr9,1.2235293166939552e-05,52,0
N3,po1,1.2934644495896088e-05,52,0
N3,po10,8.906576402222368e-06,52,0
N3,po2,1.0301960619423147e-05,52,0
N3,po3,1.1684476537522142e-05,52,0
N3,po4,1.2684002974696645e-05,52,0
N3,po5,1.1346477154857751e-05,52,0
N3,po6,2.1208269501119186e-05,52,0
N3,po7,1.5374380373053424e-05,52,0
N3,po8,1.0385845460597385e-05,52,0
N3,po9,8.940919600098018e-06,52,0
N3,tba1,9.147896990649826e-06,52,0
N3,tba2,3.167689527109128e-05,52,0
N3,tba3,2.207332452003757e-05,52,0
N3,tba4,1.305413244409328e-05,52,0
N3,tbb1,3.659759429854112e-05,52,0
N3,tbb2,3.590794243123114e-05,52,0
N3,tbb3,1.995872699178881e-05,52,0
N3,tbb4,1.8948284704758184e-05,52,0
N3,tbc1,1.725458653259874e-05,52,0
N3,tbc2,1.8764372936271158e-05,52,0
N3,tbc3,1.8173356683783397e-05,52,0
N3,tbc4,1.5671100615193216e-05,52,0
N3,tbc5,1.6318939749276906e-05,52,0
N3,tbc6,1.2631121073137266e-05,52,0
N3,tbd1,2.275932940752761e-05,52,0
N3,tbd2,1.757468380855037e-05,52,0
N3,tbd3,2.260910816954112e-05,52,0
N3,tbd4,1.9043069324201267e-05,52,0
N3,tbd5,1.3737763557503675e-05,52,0
N3,tbd6,1.1203430143669951e-05,52,0
N3,tla1,1.1900341923602854e-05,52,0
N3,tla2,3.0212240769772224e-05,52,0
N3,tla3,2.5363158064887257e-05,52,0
N3,tla4,2.168462331195288e-05,52,0
N3,tlb1,1.1790716949976081e-05,52,0
N3,tlb2,2.0549725594121275e-05,52,0
