Stage,Channel,Amplitude,NrClipsWithSpikes,SOZ
N3,bfla1,1.0363259552678678e-06,52,0
N3,bfla2,6.638130132871656e-07,52,0
N3,bfla3,1.294342040534517e-06,52,0
N3,bfla4,5.911375216720251e-07,52,0
N3,bfla5,7.998101296459104e-07,52,0
N3,bfla6,1.226804041742447e-06,52,0
N3,bfla7,1.2511505951602013e-06,52,0
N3,bfla8,7.505137511019674e-07,52,0
N3,bfla9,8.344608595169767e-06,52,0
N3,bflb1,2.6945422537627308e-06,52,0
N3,bflb2,2.949679453421969e-06,52,0
N3,bflb3,1.358121411897286e-06,52,0
N3,bflb4,2.1109228513563095e-06,52,0
N3,bflb5,1.3442120711385342e-06,52,0
N3,bflb6,2.5441650377826197e-06,52,0
N3,bflb7,1.0902121659461315e-06,52,0
N3,bflb8,7.860626018365636e-06,52,0
N3,bflb9,6.4199895925839995e-06,52,0
N3,bfra1,3.6341597068737217e-06,52,0
N3,bfra2,2.432228759720167e-05,52,0
N3,bfra3,8.26145403841245e-06,52,0
N3,bfra4,1.1124470576839332e-05,52,0
N3,bfra5,1.2724949444088239e-05,52,0
N3,bfra6,3.706403923600824e-06,52,0
N3,bfra7,2.4914464617461504e-05,52,0
N3,bfra8,2.0531807107886852e-05,52,0
N3,bfra9,2.1369476785347312e-05,52,0
N3,bfrb1,2.403106844730792e-06,52,0
N3,bfrb2,2.1263406086145595e-05,52,0
N3,bfrb3,9.739327226273241e-06,52,0
N3,bfrb4,7.891861480035961e-06,52,0
N3,bfrb5,1.0136891877052344e-05,52,0
N3,bfrb6,7.532814098514949e-06,52,0
N3,bfrb7,1.0902047852584081e-05,52,0
N3,bfrb8,1.8698776155204556e-05,52,0
N3,bfrb9,1.687763119631923e-05,52,0
N3,hla1,1.2355092251637294e-05,52,0
N3,hla2,8.89688116608795e-06,52,0
N3,hla3,1.1058405263830464e-05,52,0
N3,hla4,5.592344601625424e-06,52,0
N3,hla5,4.926447880070825e-06,52,0
N3,hlb1,1.6223560023307943e-05,52,0
N3,hlb2,1.5616014464559617e-05,52,0
N3,hlb3,9.338282778284468e-06,52,0
N3,hlb4,1.6593802821091834e-05,52,0
N3,hlb5,5.2903354476620294e-06,52,0
N3,hlc1,5.566595205955085e-06,52,0
N3,hlc2,2.362686370883673e-05,52,0
N3,hlc3,1.812968514957987e-05,52,0
N3,hlc4,1.0436274043446462e-05,52,0
N3,hlc5,1.2930979665824712e-05,52,0
N3,hra1,1.23814425308724e-05,52,1
N3,hra2,9.659705583342265e-06,52,1
N3,hra3,7.674542504989504e-06,52,1
N3,hra4,4.324049723560043e-06,52,0
N3,hra5,4.273640883413061e-06,52,0
N3,hrb1,1.8525161568845484e-05,52,1
N3,hrb2,1.068131178822155e-05,52,0
N3,hrb3,8.857660400062586e-06,52,0
N3,hrb4,5.704810102050626e-06,52,0
N3,hrb5,4.360760952429237e-06,52,0
N3,hrc1,1.5678331135319697e-05,52,1
N3,hrc2,9.78975455434836e-06,52,0
N3,hrc3,1.1760093949249487e-05,52,0
N3,hrc4,4.530479899050122e-06,52,0
N3,hrc5,3.0232046752744004e-06,52,0
N3,tpr1,8.475357550541598e-06,52,0
N3,tpr2,6.594033490416422e-06,52,0
N3,tpr3,1.5208622095168726e-05,52,0
N3,tpr4,2.4433821518224376e-06,52,0
N3,tpr5,2.293337768102137e-06,52,0
N2,bfla1,1.1622472310632926e-06,52,0
N2,bfla2,9.64396593466685e-07,52,0
N2,bfla3,1.7510114316524215e-06,52,0
N2,bfla4,6.515103584499802e-07,52,0
N2,bfla5,8.286865834860958e-07,52,0
N2,bfla6,1.7563928297346244e-06,52,0
N2,bfla7,1.6834185559018353e-06,52,0
