Stage,Channel,Amplitude,NrClipsWithSpikes,SOZ
N2,bfla8,9.335082301949859e-07,52,0
N2,bfla9,8.817611453468121e-06,52,0
N2,bflb1,3.7697577132997147e-06,52,0
N2,bflb2,4.4810955248986186e-06,52,0
N2,bflb3,2.201619740950865e-06,52,0
N2,bflb4,2.8473010306811957e-06,52,0
N2,bflb5,1.9761531213949494e-06,52,0
N2,bflb6,3.266333070676353e-06,52,0
N2,bflb7,1.759141492441404e-06,52,0
N2,bflb8,1.147702400560149e-05,52,0
N2,bflb9,8.157034147135328e-06,52,0
N2,bfra1,2.0756392753834255e-06,52,0
N2,bfra2,3.172268069001507e-05,52,0
N2,bfra3,1.0584129227442575e-05,52,0
N2,bfra4,1.4302697600888203e-05,52,0
N2,bfra5,1.6284529673619776e-05,52,0
N2,bfra6,4.550886768079679e-06,52,0
N2,bfra7,3.141187288989899e-05,52,0
N2,bfra8,2.6946094945709287e-05,52,0
N2,bfra9,2.7186824522831088e-05,52,0
N2,bfrb1,2.7372744266095785e-06,52,0
N2,bfrb2,2.4648998892176197e-05,52,0
N2,bfrb3,1.1277720596058188e-05,52,0
N2,bfrb4,9.523130029565679e-06,52,0
N2,bfrb5,1.1583076557146396e-05,52,0
N2,bfrb6,8.065823639868552e-06,52,0
N2,bfrb7,1.2155850725247676e-05,52,0
N2,bfrb8,1.9966157898221e-05,52,0
N2,bfrb9,2.00029597907571e-05,52,0
N2,hla1,1.1750832103002932e-05,52,0
N2,hla2,8.043555057506324e-06,52,0
N2,hla3,7.664845871528472e-06,52,0
N2,hla4,4.354703711166593e-06,52,0
N2,hla5,4.144652107242803e-06,52,0
N2,hlb1,2.1616524277514575e-05,52,0
N2,hlb2,2.0873922434238705e-05,52,0
N2,hlb3,7.712100577565509e-06,52,0
N2,hlb4,1.2300690800892996e-05,52,0
N2,hlb5,4.2723841210360856e-06,52,0
N2,hlc1,4.451002658487231e-06,52,0
N2,hlc2,3.820640775844044e-05,52,0
N2,hlc3,2.3519118702787518e-05,52,0
N2,hlc4,8.299327225609888e-06,52,0
N2,hlc5,9.273021862877681e-06,52,0
N2,hra1,1.6308333870938522e-05,52,1
N2,hra2,1.1908568399086697e-05,52,1
N2,hra3,7.420865466279664e-06,52,1
N2,hra4,4.276808106660841e-06,52,0
N2,hra5,3.764744169264599e-06,52,0
N2,hrb1,2.110977488484869e-05,52,1
N2,hrb2,8.610014163788923e-06,52,0
N2,hrb3,7.465929875544218e-06,52,0
N2,hrb4,5.090291712080257e-06,52,0
N2,hrb5,3.96366905791915e-06,52,0
N2,hrc1,1.9721702163959693e-05,52,1
N2,hrc2,7.541403012119666e-06,52,0
N2,hrc3,9.207777101314758e-06,52,0
N2,hrc4,4.009384641196385e-06,52,0
N2,hrc5,2.6026266689830673e-06,52,0
N2,tpr1,1.2509744749279677e-05,52,0
N2,tpr2,6.949429975696406e-06,52,0
N2,tpr3,3.1105213632780893e-05,52,0
N2,tpr4,2.3055565365811056e-06,52,0
N2,tpr5,2.044204572733503e-06,52,0
N1,bfla1,3.2568765771781206e-06,52,0
N1,bfla2,2.444632469182693e-06,52,0
N1,bfla3,2.924902479467643e-06,52,0
N1,bfla4,1.4437331619051345e-06,52,0
N1,bfla5,1.669332105960013e-06,52,0
N1,bfla6,2.705458405912564e-06,52,0
N1,bfla7,2.8307945451706984e-06,52,0
N1,bfla8,2.22199427658428e-06,52,0
N1,bfla9,1.292899386965176e-05,52,0
N1,bflb1,6.018640838287252e-06,52,0
N1,bflb2,5.643970704926717e-06,52,0
N1,bflb3,2.7508224311020837e-06,52,0
N1,bflb4,3.8951026396392e-06,52,0
N1,bflb5,2.7074341438331518e-06,52,0
N1,bflb6,4.654813964098164e-06,52,0
N1,bflb7,2.420550528880734e-06,52,0
N1,bflb8,1.3553383195039661e-05,52,0
N1,bflb9,1.0977175001890546e-05,52,0
N1,bfra1,5.1322369873583985e-06,52,0
N1,bfra2,3.186738445347101e-05,52,0
N1,bfra3,9.77835115372119e-06,52,0
N1,bfra4,1.5084472774907e-05,52,0
N1,bfra5,1.5271854845966e-05,52,0
N1,bfra6,5.444210824562033e-06,52,0
N1,bfra7,3.12488295158671e-05,52,0
N1,bfra8,3.101051312626677e-05,52,0
N1,bfra9,2.7969421100840635e-05,52,0
N1,bfrb1,4.351597335214405e-06,52,0
N1,bfrb2,2.4653767202839543e-05,52,0
N1,bfrb3,1.2157667628822776e-05,52,0
N1,bfrb4,9.855026002719519e-06,52,0
N1,bfrb5,1.1825691016775335e-05,52,0
N1,bfrb6,9.62143973968306e-06,52,0
N1,bfrb7,1.2644066388574693e-05,52,0
N1,bfrb8,2.412893706844255e-05,52,0
N1,bfrb9,1.9494733215347863e-05,52,0
N1,hla1,1.8150835583482696e-05,52,0
N1,hla2,1.031315671895213e-05,52,0
N1,hla3,9.559621582302154e-06,52,0
N1,hla4,5.081699473213984e-06,52,0
N1,hla5,3.99687174833709e-06,52,0
N1,hlb1,2.588372150331161e-05,52,0
N1,hlb2,2.3125199046117604e-05,52,0
N1,hlb3,9.27991618443319e-06,52,0
N1,hlb4,1.226133107795301e-05,52,0
N1,hlb5,4.113941595578794e-06,52,0
N1,hlc1,4.666501203500866e-06,52,0
N1,hlc2,4.876666617348165e-05,52,0
N1,hlc3,2.866527002486283e-05,52,0
N1,hlc4,8.425838535146203e-06,52,0
N1,hlc5,7.539715097609568e-06,52,0
N1,hra1,2.518911954764633e-05,52,1
N1,hra2,2.0314990518446445e-05,52,1
N1,hra3,1.1528872316949096e-05,52,1
N1,hra4,6.570692096273344e-06,52,0
N1,hra5,5.06628413212602e-06,52,0
N1,hrb1,3.0104161879618365e-05,52,1
N1,hrb2,1.0852235572037592e-05,52,0
N1,hrb3,9.070498979403175e-06,52,0
N1,hrb4,6.931001888379049e-06,52,0
N1,hrb5,4.726412351459282e-06,52,0
N1,hrc1,2.8027086848889213e-05,52,1
N1,hrc2,7.837995591595135e-06,52,0
N1,hrc3,1.012150763768659e-05,52,0
N1,hrc4,5.9292472857317435e-06,52,0
N1,hrc5,3.0029857476144114e-06,52,0
N1,tpr1,1.9439983737264884e-05,52,0
N1,tpr2,1.124403425047597e-05,52,0
N1,tpr3,5.707928271571891e-05,52,0
N1,tpr4,3.5252921180979627e-06,52,0
N1,tpr5,2.9845677100501805e-06,52,0
REM,bfla1,6.365099031764115e-05,52,0
REM,bfla2,3.312102915885016e-05,52,0
REM,bfla3,2.1459470916584996e-05,52,0
REM,bfla4,3.474263829210123e-05,52,0
REM,bfla5,2.527818190657786e-05,52,0
REM,bfla6,2.492665895134257e-05,52,0
REM,bfla7,2.1691181605629033e-05,52,0
REM,bfla8,2.2502608679544337e-05,52,0
REM,bfla9,9.062709545210595e-05,52,0
REM,bflb1,7.564242788037182e-05,52,0
REM,bflb2,1.998824007498514e-05,52,0
REM,bflb3,2.417156458528461e-05,52,0
REM,bflb4,1.5918151803019417e-05,52,0
REM,bflb5,1.7574342225500005e-05,52,0
REM,bflb6,2.425383912570586e-05,52,0
REM,bflb7,7.503253262020896e-05,52,0
REM,bflb8,8.643835072448025e-05,52,0
REM,bflb9,3.170245755682409e-05,52,0
REM,bfra1,0.00010446814267437209,52,0
REM,bfra2,0.00013264323853149536,52,0
REM,bfra3,8.340545961532539e-05,52,0
REM,bfra4,3.6886079474389294e-05,52,0
REM,bfra5,2.6985205388919116e-05,52,0
REM,bfra6,5.5341381492502184e-05,52,0
REM,bfra7,5.676661709479575e-05,52,0
REM,bfra8,4.79799251972698e-05,52,0
REM,bfra9,4.569530311344943e-05,52,0
REM,bfrb1,0.00011033888301838424,52,0
REM,bfrb2,0.00011158680565100362,52,0
REM,bfrb3,9.544513729775402e-05,52,0
REM,bfrb4,8.770774237626657e-05,52,0
REM,bfrb5,9.359521255349526e-05,52,0
REM,bfrb6,8.233996671527003e-05,52,0
REM,bfrb7,9.13164127109236e-05,52,0
REM,bfrb8,0.00010725523159937374,52,0
REM,bfrb9,0.00010666460193508662,52,0
REM,hla1,3.7880430654080874e-05,52,0
REM,hla2,3.340691556395584e-05,52,0
REM,hla3,3.2005210547467904e-05,52,0
REM,hla4,2.7510908648112094e-05,52,0
REM,hla5,2.6223374926527842e-05,52,0
REM,hlb1,4.5859607731508885e-05,52,0
REM,hlb2,4.426546885298743e-05,52,0
REM,hlb3,2.6212554676039057e-05,52,0
REM,hlb4,3.490478438860207e-05,52,0
REM,hlb5,4.792536114287501e-06,52,0
REM,hlc1,2.5798215745470262e-05,52,0
REM,hlc2,6.270489516152291e-05,52,0
REM,hlc3,5.224410774475816e-05,52,0
REM,hlc4,3.08841551562848e-05,52,0
REM,hlc5,3.1277287692363936e-05,52,0
REM,hra1,4.534862924131576e-05,52,1
REM,hra2,3.7894270863834895e-05,52,1
REM,hra3,3.045165158207304e-05,52,1
REM,hra4,2.591077509839468e-05,52,0
REM,hra5,2.502099418093324e-05,52,0
REM,hrb1,4.500160728265882e-05,52,1
REM,hrb2,3.222366238620367e-05,52,0
REM,hrb3,2.9137411197441723e-05,52,0
REM,hrb4,2.6993159552450794e-05,52,0
REM,hrb5,2.4909900335351186e-05,52,0
REM,hrc1,4.453181876681396e-05,52,1
REM,hrc2,2.95171231136434e-05,52,0
REM,hrc3,3.127217959549831e-05,52,0
REM,hrc4,2.600727853515098e-05,52,0
REM,hrc5,2.410048945221613e-05,52,0
REM,tpr1,3.803209532392288e-05,52,0
REM,tpr2,3.1556533942146316e-05,52,0
REM,tpr3,6.898325014187496e-05,52,0
REM,tpr4,2.4018142588180794e-05,52,0
REM,tpr5,2.3105665919026468e-05,52,0
Wake,bfla1,0.00018871667597578458,52,0
Wake,bfla2,0.00017025915913738496,52,0
Wake,bfla3,0.00012102221357582369,52,0
Wake,bfla4,0.00013241011481279443,52,0
Wake,bfla5,0.00012840596605281769,52,0
Wake,bfla6,0.00010557840978836477,52,0
Wake,bfla7,0.00011156022102332274,52,0
Wake,bfla8,0.0001423647315561134,52,0
Wake,bfla9,0.00012488374858288627,52,0
Wake,bflb1,0.00014677364263486118,52,0
Wake,bflb2,9.551903848841804e-05,52,0
Wake,bflb3,7.631337779464671e-05,52,0
Wake,bflb4,6.005937851373022e-05,52,0
Wake,bflb5,7.890841019239829e-05,52,0
Wake,bflb6,0.00011810949805366994,52,0
Wake,bflb7,0.0001070927982856795,52,0
Wake,bflb8,6.673509567913979e-05,52,0
Wake,bflb9,3.533860178836549e-05,52,0
Wake,bfra1,0.00018367731429949256,52,0
Wake,bfra2,9.498805383627216e-05,52,0
Wake,bfra3,0.00010581538611947982,52,0
Wake,bfra4,9.07711472121469e-05,52,0
Wake,bfra5,8.365909762503069e-05,52,0
Wake,bfra6,0.00013722669916741445,52,0
Wake,bfra7,7.934034259298214e-05,52,0
Wake,bfra8,9.00578691718396e-05,52,0
Wake,bfra9,0.00010300094809357665,52,0
Wake,bfrb1,0.00018896517872450612,52,0
Wake,bfrb2,9.752566759421838e-05,52,0
Wake,bfrb3,0.00012904234995564774,52,0
Wake,bfrb4,0.0001202425813816466,52,0
Wake,bfrb5,0.00010696779336725527,52,0
Wake,bfrb6,0.00012157328091627444,52,0
Wake,bfrb7,0.0001147767811624404,52,0
Wake,bfrb8,9.835274912365621e-05,52,0
Wake,bfrb9,0.00013382992308824256,52,0
Wake,hla1,2.263093486434807e-05,52,0
Wake,hla2,1.778170448883522e-05,52,0
Wake,hla3,1.7087434660433606e-05,52,0
Wake,hla4,1.4646085324977117e-05,52,0
Wake,hla5,1.6369987844858582e-05,52,0
Wake,hlb1,2.7687174815464673e-05,52,0
Wake,hlb2,2.536388561538069e-05,52,0
Wake,hlb3,1.7362535836129534e-05,52,0
Wake,hlb4,2.0644406133808768e-05,52,0
Wake,hlb5,1.644054944628249e-05,52,0
Wake,hlc1,1.4608931417615934e-05,52,0
Wake,hlc2,4.5105905729705154e-05,52,0
Wake,hlc3,2.6766016808277847e-05,52,0
Wake,hlc4,1.700017847417343e-05,52,0
Wake,hlc5,1.7256294492709724e-05,52,0
Wake,hra1,4.511999141822848e-05,52,1
Wake,hra2,4.0550653606903026e-05,52,1
Wake,hra3,2.1228326696200817e-05,52,1
Wake,hra4,1.4910507976233105e-05,52,0
Wake,hra5,1.4895750087085935e-05,52,0
Wake,hrb1,3.1875140023749935e-05,52,1
Wake,hrb2,2.228433556460958e-05,52,0
Wake,hrb3,1.9451376757646047e-05,52,0
Wake,hrb4,1.5044738367061976e-05,52,0
Wake,hrb5,1.4983968092066605e-05,52,0
Wake,hrc1,3.860261695804242e-05,52,1
Wake,hrc2,1.763783435438826e-05,52,0
Wake,hrc3,1.8962732807480996e-05,52,0
Wake,hrc4,1.4460286779503054e-05,52,0
Wake,hrc5,1.3855807901948107e-05,52,0
Wake,tpr1,3.5082868179118623e-05,52,0
Wake,tpr2,2.3765469392309062e-05,52,0
Wake,tpr3,0.00011088378697830753,52,0
Wake,tpr4,1.8077408638677133e-05,52,0
Wake,tpr5,1.96451181396492e-05,52,0
NaN,bfla1,0.0,52,0
NaN,bfla2,0.0,52,0
NaN,bfla3,0.0,52,0
NaN,bfla4,0.0,52,0
NaN,bfla5,0.0,52,0
NaN,bfla6,0.0,52,0
NaN,bfla7,0.0,52,0
NaN,bfla8,0.0,52,0
NaN,bfla9,0.0,52,0
NaN,bflb1,0.0,52,0
NaN,bflb2,0.0,52,0
NaN,bflb3,0.0,52,0
NaN,bflb4,0.0,52,0
NaN,bflb5,0.0,52,0
NaN,bflb6,0.0,52,0
NaN,bflb7,0.0,52,0
NaN,bflb8,0.0,52,0
NaN,bflb9,0.0,52,0
NaN,bfra1,0.0,52,0
NaN,bfra2,0.0,52,0
NaN,bfra3,0.0,52,0
NaN,bfra4,0.0,52,0
NaN,bfra5,0.0,52,0
NaN,bfra6,0.0,52,0
NaN,bfra7,0.0,52,0
NaN,bfra8,0.0,52,0
NaN,bfra9,0.0,52,0
NaN,bfrb1,0.0,52,0
NaN,bfrb2,0.0,52,0
NaN,bfrb3,0.0,52,0
NaN,bfrb4,0.0,52,0
NaN,bfrb5,0.0,52,0
NaN,bfrb6,0.0,52,0
NaN,bfrb7,0.0,52,0
NaN,bfrb8,0.0,52,0
NaN,bfrb9,0.0,52,0
NaN,hla1,0.0,52,0
NaN,hla2,0.0,52,0
NaN,hla3,0.0,52,0
NaN,hla4,0.0,52,0
NaN,hla5,0.0,52,0
NaN,hlb1,0.0,52,0
NaN,hlb2,0.0,52,0
NaN,hlb3,0.0,52,0
NaN,hlb4,0.0,52,0
NaN,hlb5,0.0,52,0
NaN,hlc1,0.0,52,0
NaN,hlc2,0.0,52,0
NaN,hlc3,0.0,52,0
NaN,hlc4,0.0,52,0
NaN,hlc5,0.0,52,0
NaN,hra1,0.0,52,1
NaN,hra2,0.0,52,1
NaN,hra3,0.0,52,1
NaN,hra4,0.0,52,0
NaN,hra5,0.0,52,0
NaN,hrb1,0.0,52,1
NaN,hrb2,0.0,52,0
NaN,hrb3,0.0,52,0
NaN,hrb4,0.0,52,0
NaN,hrb5,0.0,52,0
NaN,hrc1,0.0,52,1
NaN,hrc2,0.0,52,0
NaN,hrc3,0.0,52,0
NaN,hrc4,0.0,52,0
NaN,hrc5,0.0,52,0
NaN,tpr1,0.0,52,0
NaN,tpr2,0.0,52,0
NaN,tpr3,0.0,52,0
NaN,tpr4,0.0,52,0
NaN,tpr5,0.0,52,0
