Stage,Channel,Amplitude,NrClipsWithSpikes,SOZ
N3,ga1,2.547257656862445e-05,52,0
N3,ga2,2.109479632883872e-05,52,0
N3,ga3,1.7729492008447163e-05,52,0
N3,ga4,2.4930145601487027e-05,52,0
N3,ga5,1.4500966658798348e-05,52,0
N3,ga6,1.2708769673989413e-05,52,0
N3,ga7,9.924795984734241e-06,52,0
N3,ga8,1.0258024599084673e-05,52,0
N3,gb1,2.746882213819001e-05,52,0
N3,gb2,2.3608118886188398e-05,52,0
N3,gb3,2.019661031570199e-05,52,0
N3,gb4,2.5247024434725003e-05,52,0
N3,gb5,1.976007412095758e-05,52,0
N3,gb6,1.3518956702283316e-05,52,0
N3,gb7,1.961043441477118e-05,52,0
N3,gb8,3.58996429663073e-06,52,0
N3,gc1,2.3363685019723454e-05,52,0
N3,gc2,2.6050929567057852e-05,52,0
N3,gc3,2.0452645182259502e-05,52,0
N3,gc4,2.1158042080029223e-05,52,0
N3,gc5,1.0361061250027803e-05,52,0
N3,gc6,1.3287448423971199e-05,52,0
N3,gc7,1.3130459614626926e-05,52,0
N3,gc8,1.490291571163552e-05,52,0
N3,gd1,2.10957951677605e-05,52,0
N3,gd2,3.35792210990757e-05,52,0
N3,gd3,1.0801428964292693e-05,52,0
N3,gd4,1.0111763702120425e-05,52,0
N3,gd5,1.0520404871376352e-05,52,0
N3,gd6,1.0547101148061886e-05,52,0
N3,gd7,1.2357318676080249e-05,52,0
N3,gd8,1.2481549541520358e-05,52,0
N3,hl1,1.2378807390219346e-05,52,0
N3,hl10,4.1252618804526586e-05,52,1
N3,hl2,1.63371663380577e-05,52,0
N3,hl3,1.8727261423020918e-05,52,0
N3,hl4,1.644249315731643e-05,52,0
N3,hl5,1.636220298692482e-05,52,0
N3,hl6,1.926733836762326e-05,52,0
N3,hl7,5.678498721403491e-05,52,1
N3,hl8,3.855184225794651e-05,52,1
N3,hl9,1.7691500321502175e-05,52,1
N3,tbla1,1.5807755124478537e-05,52,1
N3,tbla2,2.9904775295857425e-05,52,1
N3,tbla3,1.9872415059011143e-05,52,1
N3,tbla4,1.5926288859622334e-05,52,0
