Stage,Channel,Amplitude,NrClipsWithSpikes,SOZ
N3,hla1,1.4458050926196392e-05,52,0
N3,hla2,8.419672512742692e-06,52,0
N3,hla3,5.325929419634624e-06,52,0
N3,hla4,5.191421996082408e-06,52,0
N3,hla5,6.282863247472342e-06,52,0
N3,hlb1,1.1417436942294154e-05,52,0
N3,hlb2,7.138341667301252e-06,52,0
N3,hlb3,4.923383068359778e-06,52,0
N3,hlb4,9.176274280223559e-06,52,0
N3,hlb5,3.659268768381346e-06,52,0
N3,hlc1,1.690072788885844e-05,52,0
N3,hlc2,6.186744371102782e-06,52,0
N3,hlc3,5.216809693180472e-06,52,0
N3,hlc4,4.448270188456077e-06,52,0
N3,hlc5,2.7747419207715923e-06,52,0
N3,hp1,1.1775345482597357e-07,52,0
N3,hp2,1.2640784647479426e-07,52,0
N3,hp3,1.0733233537488251e-07,52,0
N3,hra1,4.746566163077964e-06,52,0
N3,hra2,9.576498048716914e-06,52,0
N3,hra3,5.442415496380873e-06,52,0
N3,hra4,5.372394703492418e-06,52,0
N3,hra5,7.526974505858239e-06,52,0
N3,hrb1,1.0277824041489772e-05,52,0
N3,hrb2,1.2325840090484633e-05,52,1
N3,hrb3,5.370305729653877e-06,52,1
N3,hrb4,6.4180056850513035e-06,52,0
N3,hrb5,6.123951582679706e-06,52,0
N3,hrc1,6.0428409955763565e-06,52,0
N3,hrc2,4.922277500170118e-06,52,1
N3,hrc3,4.496549942239337e-06,52,0
N3,hrc4,5.957066155875197e-06,52,0
N3,hrc5,2.8373803932367222e-08,52,0
N2,hla1,3.5631783437812486e-05,52,0
N2,hla2,2.0865052114862567e-05,52,0
N2,hla3,1.0651758638058168e-05,52,0
N2,hla4,4.089307797337255e-06,52,0
N2,hla5,4.328346933504581e-06,52,0
N2,hlb1,2.8893143693333707e-05,52,0
N2,hlb2,1.2904425950485575e-05,52,0
N2,hlb3,5.486399794852695e-06,52,0
N2,hlb4,6.555651521764824e-06,52,0
N2,hlb5,3.362251934891963e-06,52,0
N2,hlc1,2.6678915688714176e-05,52,0
N2,hlc2,1.0827420987426372e-05,52,0
N2,hlc3,5.07350315075069e-06,52,0
N2,hlc4,5.075533291146906e-06,52,0
N2,hlc5,2.93668134994375e-06,52,0
N2,hp1,1.6596552905111675e-07,52,0
N2,hp2,1.546176604969556e-07,52,0
N2,hp3,1.4907229974625045e-07,52,0
N2,hra1,7.455532291784726e-06,52,0
N2,hra2,1.5279210497188894e-05,52,0
N2,hra3,9.134408771015627e-06,52,0
N2,hra4,1.0143809739001781e-05,52,0
N2,hra5,1.134315470712807e-05,52,0
N2,hrb1,1.9220567526535213e-05,52,0
N2,hrb2,2.5060028432464063e-05,52,1
N2,hrb3,9.505324393389859e-06,52,1
N2,hrb4,7.320193168569592e-06,52,0
N2,hrb5,6.370624072347726e-06,52,0
N2,hrc1,1.1725152726620847e-05,52,0
N2,hrc2,8.778624721525033e-06,52,1
N2,hrc3,6.063605141967797e-06,52,0
N2,hrc4,6.888266349241959e-06,52,0
N2,hrc5,4.536927620147413e-08,52,0
N1,hla1,4.8870180047929675e-05,52,0
N1,hla2,3.675807349411572e-05,52,0
N1,hla3,2.5106328696112717e-05,52,0
N1,hla4,1.542343455359448e-05,52,0
N1,hla5,1.4044803621786635e-05,52,0
N1,hlb1,5.580296690359407e-05,52,0
N1,hlb2,3.050551265005756e-05,52,0
N1,hlb3,2.0004562017457967e-05,52,0
N1,hlb4,1.734568608383938e-05,52,0
N1,hlb5,1.112574536432033e-05,52,0
N1,hlc1,6.943135237853761e-05,52,0
N1,hlc2,3.701115035201963e-05,52,0
N1,hlc3,2.3387859665653504e-05,52,0
N1,hlc4,1.52579613754545e-05,52,0
N1,hlc5,1.0221662768406226e-05,52,0
N1,hp1,6.973973203445728e-07,52,0
N1,hp2,7.093265316167853e-07,52,0
N1,hp3,6.100722246876951e-07,52,0
N1,hra1,1.4977667617444891e-05,52,0
N1,hra2,3.011694676903199e-05,52,0
N1,hra3,2.5752790854119318e-05,52,0
N1,hra4,3.103971523364456e-05,52,0
N1,hra5,3.0071916152482783e-05,52,0
N1,hrb1,5.197633064382849e-05,52,0
N1,hrb2,7.275814376065919e-05,52,1
N1,hrb3,3.002137827734253e-05,52,1
N1,hrb4,2.4456533929681644e-05,52,0
N1,hrb5,1.9974341503666426e-05,52,0
N1,hrc1,3.2560025253492934e-05,52,0
N1,hrc2,2.7633877288962803e-05,52,1
N1,hrc3,2.4282985287014678e-05,52,0
N1,hrc4,2.1288218986060974e-05,52,0
N1,hrc5,1.7739922860114587e-07,52,0
REM,hla1,3.4638288965312036e-05,52,0
REM,hla2,2.2082334442876787e-05,52,0
REM,hla3,1.4955946788855285e-05,52,0
REM,hla4,9.802743370582672e-06,52,0
REM,hla5,8.74745371161995e-06,52,0
REM,hlb1,2.733716139979264e-05,52,0
REM,hlb2,1.5326877754340598e-05,52,0
REM,hlb3,1.0689953393934269e-05,52,0
REM,hlb4,1.2723608330151103e-05,52,0
REM,hlb5,7.29466723401793e-06,52,0
REM,hlc1,3.9041442875839044e-05,52,0
REM,hlc2,2.0626320314954494e-05,52,0
REM,hlc3,1.1975650061503727e-05,52,0
REM,hlc4,9.627114944111911e-06,52,0
REM,hlc5,6.881341202598888e-06,52,0
REM,hp1,1.3070297441218501e-05,52,0
REM,hp2,1.0226473421038063e-05,52,0
REM,hp3,3.439263020864647e-07,52,0
REM,hra1,1.1006659334902503e-05,52,0
