Stage,Channel,Amplitude,NrClipsWithSpikes,SOZ
REM,hra2,1.9842288659192944e-05,52,0
REM,hra3,1.4639199887969705e-05,52,0
REM,hra4,1.6553861028910486e-05,52,0
REM,hra5,1.7447746147371025e-05,52,0
REM,hrb1,3.403538384981566e-05,52,0
REM,hrb2,4.078541831727803e-05,52,1
REM,hrb3,1.4455746378229588e-05,52,1
REM,hrb4,1.3715589692560034e-05,52,0
REM,hrb5,1.2048165217427081e-05,52,0
REM,hrc1,1.9474518940247585e-05,52,0
REM,hrc2,1.6630514671131165e-05,52,1
REM,hrc3,1.1465823183991586e-05,52,0
REM,hrc4,1.389991398764177e-05,52,0
REM,hrc5,9.136049685070864e-08,52,0
Wake,hla1,5.3166065306952506e-05,52,0
Wake,hla2,4.499540654170636e-05,52,0
Wake,hla3,3.3380011599084996e-05,52,0
Wake,hla4,2.2071770041847116e-05,52,0
Wake,hla5,2.0744781970687096e-05,52,0
Wake,hlb1,6.968138687772335e-05,52,0
Wake,hlb2,4.320573470956993e-05,52,0
Wake,hlb3,2.7873954159026504e-05,52,0
Wake,hlb4,2.712212308888073e-05,52,0
Wake,hlb5,2.0030241551275767e-05,52,0
Wake,hlc1,9.335808798094795e-05,52,0
Wake,hlc2,5.192438635781708e-05,52,0
Wake,hlc3,2.7591356469218998e-05,52,0
Wake,hlc4,2.127449080452661e-05,52,0
Wake,hlc5,1.848670279179827e-05,52,0
Wake,hp1,1.551627125908022e-05,52,0
Wake,hp2,1.3708220087608931e-05,52,0
Wake,hp3,4.063014156945279e-07,52,0
Wake,hra1,2.348467855297982e-05,52,0
Wake,hra2,3.7115592586788666e-05,52,0
Wake,hra3,3.863547235207248e-05,52,0
Wake,hra4,5.9797864059640214e-05,52,0
Wake,hra5,4.895548668412089e-05,52,0
Wake,hrb1,7.188907664690028e-05,52,0
Wake,hrb2,0.00012648085548371476,52,1
Wake,hrb3,6.138556670683862e-05,52,1
Wake,hrb4,4.5343433845798624e-05,52,0
Wake,hrb5,3.722849893494066e-05,52,0
Wake,hrc1,5.3998609434596416e-05,52,0
Wake,hrc2,4.82685454348663e-05,52,1
Wake,hrc3,3.9552907780010826e-05,52,0
Wake,hrc4,3.9784425762981624e-05,52,0
Wake,hrc5,7.199462160455693e-07,52,0
NaN,hla1,0.0,52,0
NaN,hla2,0.0,52,0
NaN,hla3,0.0,52,0
NaN,hla4,0.0,52,0
NaN,hla5,0.0,52,0
NaN,hlb1,0.0,52,0
NaN,hlb2,0.0,52,0
NaN,hlb3,0.0,52,0
NaN,hlb4,0.0,52,0
NaN,hlb5,0.0,52,0
NaN,hlc1,0.0,52,0
NaN,hlc2,0.0,52,0
NaN,hlc3,0.0,52,0
NaN,hlc4,0.0,52,0
NaN,hlc5,0.0,52,0
NaN,hp1,0.0,52,0
NaN,hp2,0.0,52,0
NaN,hp3,0.0,52,0
NaN,hra1,0.0,52,0
NaN,hra2,0.0,52,0
NaN,hra3,0.0,52,0
NaN,hra4,0.0,52,0
NaN,hra5,0.0,52,0
NaN,hrb1,0.0,52,0
NaN,hrb2,0.0,52,1
NaN,hrb3,0.0,52,1
NaN,hrb4,0.0,52,0
NaN,hrb5,0.0,52,0
NaN,hrc1,0.0,52,0
NaN,hrc2,0.0,52,1
NaN,hrc3,0.0,52,0
NaN,hrc4,0.0,52,0
NaN,hrc5,0.0,52,0
